Date,Gold Price (24 Karat),Gold Price (22 Karat),Gold Price (18 Karat),Gold Price (14 Karat),Gold Price (10 Karat)
1 Jan,5526.88,5066.31,4145.16,3224.02,2302.87
2 Jan,5512.74,5053.34,4134.55,3215.76,2296.97
3 Jan,5470.42,5014.55,4102.81,3191.08,2279.34
4 Jan,5468.16,5012.48,4101.12,3189.76,2278.40
5 Jan,5471.12,5015.20,4103.34,3191.49,2279.64
8 Jan,5417.79,4966.31,4063.34,3160.38,2257.41
9 Jan,5424.33,4972.31,4068.25,3164.19,2260.14
10 Jan,5406.09,4955.58,4054.57,3153.55,2252.54
11 Jan,5430.85,4978.28,4073.14,3167.99,2262.85
12 Jan,5460.32,5005.30,4095.24,3185.19,2275.13
15 Jan,5471.27,5015.33,4103.45,3191.57,2279.69
16 Jan,5413.70,4962.56,4060.27,3157.99,2255.71
17 Jan,5373.80,4925.98,4030.35,3134.71,2239.08
18 Jan,5407.11,4956.51,4055.33,3154.15,2252.96
19 Jan,5424.08,4972.08,4068.06,3164.05,2260.03
22 Jan,5400.91,4950.84,4050.68,3150.53,2250.38
23 Jan,5427.20,4974.94,4070.40,3165.87,2261.33
24 Jan,5388.34,4939.31,4041.25,3143.20,2245.14
25 Jan,5402.98,4952.73,4052.24,3151.74,2251.24
26 Jan,5394.22,4944.70,4045.67,3146.63,2247.59
29 Jan,5429.21,4976.77,4071.90,3167.04,2262.17
30 Jan,5440.75,4987.35,4080.56,3173.77,2266.98
31 Jan,5452.84,4998.43,4089.63,3180.82,2272.02
1 Feb,5483.25,5026.32,4112.44,3198.56,2284.69
2 Feb,5442.23,4988.71,4081.67,3174.63,2267.60
5 Feb,5404.26,4953.90,4053.19,3152.48,2251.77
6 Feb,5436.24,4983.22,4077.18,3171.14,2265.10
7 Feb,5432.93,4980.18,4074.70,3169.21,2263.72
8 Feb,5427.13,4974.87,4070.35,3165.83,2261.30
9 Feb,5403.35,4953.07,4052.51,3151.96,2251.40
12 Feb,5387.70,4938.73,4040.78,3142.83,2244.88
13 Feb,5320.38,4877.01,3990.28,3103.55,2216.82
14 Feb,5321.40,4877.95,3991.05,3104.15,2217.25
15 Feb,5348.66,4902.94,4011.50,3120.05,2228.61
16 Feb,5372.65,4924.93,4029.49,3134.04,2238.60
19 Feb,5383.62,4934.99,4037.72,3140.45,2243.18
20 Feb,5394.06,4944.55,4045.54,3146.53,2247.52
21 Feb,5402.78,4952.55,4052.09,3151.62,2251.16
22 Feb,5397.28,4947.50,4047.96,3148.41,2248.86
23 Feb,5424.25,4972.23,4068.19,3164.15,2260.10
26 Feb,5411.50,4960.54,4058.63,3156.71,2254.79
27 Feb,5412.73,4961.67,4059.55,3157.43,2255.30
28 Feb,5425.21,4973.11,4068.90,3164.70,2260.50
29 Feb,5448.17,4994.15,4086.13,3178.10,2270.07
1 Mar,5547.03,5084.78,4160.27,3235.77,2311.26
4 Mar,5637.43,5167.64,4228.07,3288.50,2348.93
5 Mar,5671.66,5199.02,4253.74,3308.47,2363.19
6 Mar,5723.24,5246.30,4292.43,3338.55,2384.68
7 Mar,5744.09,5265.41,4308.07,3350.72,2393.37
8 Mar,5797.66,5314.53,4348.25,3381.97,2415.69
11 Mar,5810.69,5326.46,4358.01,3389.57,2421.12
12 Mar,5750.10,5270.93,4312.58,3354.23,2395.88
13 Mar,5791.03,5308.44,4343.27,3378.10,2412.93
14 Mar,5767.18,5286.58,4325.38,3364.19,2402.99
15 Mar,5745.97,5267.14,4309.48,3351.81,2394.15
18 Mar,5763.75,5283.44,4322.81,3362.19,2401.56
19 Mar,5762.64,5282.42,4321.98,3361.54,2401.10
20 Mar,5901.33,5409.55,4426.00,3442.44,2458.89
21 Mar,5837.76,5351.28,4378.32,3405.36,2432.40
22 Mar,5820.35,5335.32,4365.26,3395.20,2425.15
25 Mar,5826.78,5341.21,4370.08,3398.95,2427.82
26 Mar,5839.36,5352.75,4379.52,3406.29,2433.07
27 Mar,5878.76,5388.87,4409.07,3429.28,2449.48
28 Mar,5980.39,5482.02,4485.29,3488.56,2491.83
29 Mar,5978.28,5480.09,4483.71,3487.33,2490.95
1 Apr,6047.83,5543.85,4535.87,3527.90,2519.93
2 Apr,6133.05,5621.96,4599.79,3577.61,2555.44
3 Apr,6179.78,5664.80,4634.83,3604.87,2574.91
4 Apr,6151.11,5638.52,4613.33,3588.15,2562.96
5 Apr,6239.66,5719.69,4679.75,3639.80,2599.86
8 Apr,6258.78,5737.21,4694.08,3650.95,2607.82
9 Apr,6295.48,5770.86,4721.61,3672.36,2623.12
10 Apr,6261.15,5739.39,4695.86,3652.34,2608.81
11 Apr,6365.80,5835.31,4774.35,3713.38,2652.42
12 Apr,6302.56,5777.35,4726.92,3676.49,2626.07
15 Apr,6408.94,5874.86,4806.71,3738.55,2670.39
16 Apr,6417.99,5883.15,4813.49,3743.83,2674.16
17 Apr,6355.86,5826.20,4766.89,3707.58,2648.27
18 Apr,6394.37,5861.51,4795.78,3730.05,2664.32
19 Apr,6408.50,5874.46,4806.38,3738.29,2670.21
22 Apr,6240.11,5720.10,4680.08,3640.06,2600.05
23 Apr,6218.95,5700.70,4664.21,3627.72,2591.23
24 Apr,6211.20,5693.60,4658.40,3623.20,2588.00
25 Apr,6249.49,5728.70,4687.12,3645.54,2603.95
26 Apr,6269.03,5746.61,4701.77,3656.93,2612.09
29 Apr,6266.55,5744.34,4699.91,3655.49,2611.06
30 Apr,6149.03,5636.61,4611.77,3586.94,2562.10
1 May,6223.08,5704.49,4667.31,3630.13,2592.95
2 May,6182.83,5667.59,4637.12,3606.65,2576.18
3 May,6172.54,5658.16,4629.41,3600.65,2571.89
6 May,6245.20,5724.77,4683.90,3643.03,2602.17
7 May,6215.97,5697.97,4661.98,3625.98,2589.99
8 May,6200.16,5683.48,4650.12,3616.76,2583.40
9 May,6293.36,5768.91,4720.02,3671.12,2622.23
10 May,6340.49,5812.12,4755.37,3698.62,2641.87
13 May,6277.52,5754.39,4708.14,3661.89,2615.63
14 May,6326.72,5799.50,4745.04,3690.59,2636.14
15 May,6407.95,5873.95,4805.96,3737.97,2669.98
16 May,6383.90,5851.91,4787.92,3723.94,2659.96
17 May,6464.96,5926.21,4848.72,3771.23,2693.73
20 May,6508.74,5966.34,4881.55,3796.76,2711.97
21 May,6486.81,5946.25,4865.11,3783.97,2702.84
22 May,6373.76,5842.62,4780.32,3718.03,2655.73
23 May,6244.59,5724.21,4683.44,3642.68,2601.91
24 May,6233.28,5713.84,4674.96,3636.08,2597.20
27 May,6289.13,5765.04,4716.85,3668.66,2620.47
28 May,6313.09,5787.00,4734.82,3682.64,2630.45
29 May,6268.77,5746.38,4701.58,3656.79,2611.99
30 May,6279.65,5756.35,4709.74,3663.13,2616.52
31 May,6245.09,5724.67,4683.82,3642.97,2602.12
3 Jun,6280.54,5757.16,4710.40,3663.65,2616.89
4 Jun,6262.01,5740.17,4696.50,3652.84,2609.17
5 Jun,6316.49,5790.12,4737.37,3684.62,2631.87
6 Jun,6376.84,5845.44,4782.63,3719.83,2657.02
7 Jun,6160.29,5646.93,4620.21,3593.50,2566.79
10 Jun,6209.13,5691.70,4656.85,3621.99,2587.14
11 Jun,6223.33,5704.72,4667.50,3630.28,2593.05
12 Jun,6233.73,5714.25,4675.30,3636.34,2597.39
13 Jun,6187.49,5671.87,4640.62,3609.37,2578.12
14 Jun,6267.05,5744.79,4700.29,3655.78,2611.27
17 Jun,6230.05,5710.88,4672.54,3634.20,2595.86
18 Jun,6242.72,5722.49,4682.04,3641.58,2601.13
19 Jun,6249.90,5729.08,4687.43,3645.78,2604.13
20 Jun,6344.97,5816.22,4758.73,3701.23,2643.74
21 Jun,6235.65,5716.01,4676.74,3637.46,2598.19
24 Jun,6260.71,5738.99,4695.53,3652.08,2608.63
25 Jun,6226.75,5707.85,4670.06,3632.27,2594.48
26 Jun,6177.80,5662.98,4633.35,3603.72,2574.08
27 Jun,6242.74,5722.51,4682.05,3641.60,2601.14
28 Jun,6236.38,5716.68,4677.28,3637.89,2598.49
1 Jul,6255.59,5734.29,4691.70,3649.10,2606.50
2 Jul,6256.30,5734.94,4692.22,3649.51,2606.79
3 Jul,6326.37,5799.17,4744.77,3690.38,2635.99
4 Jul,6324.05,5797.05,4743.04,3689.03,2635.02
5 Jul,6420.02,5885.02,4815.01,3745.01,2675.01
8 Jul,6330.62,5803.07,4747.97,3692.86,2637.76
9 Jul,6344.93,5816.19,4758.70,3701.21,2643.72
10 Jul,6368.84,5838.10,4776.63,3715.16,2653.68
11 Jul,6477.78,5937.96,4858.33,3778.70,2699.07
12 Jul,6475.13,5935.54,4856.35,3777.16,2697.97
15 Jul,6507.22,5964.96,4880.42,3795.88,2711.34
16 Jul,6627.17,6074.91,4970.38,3865.85,2761.32
17 Jul,6606.58,6056.03,4954.94,3853.84,2752.74
18 Jul,6579.31,6031.03,4934.48,3837.93,2741.38
19 Jul,6462.45,5923.91,4846.84,3769.76,2692.69
22 Jul,6446.60,5909.38,4834.95,3760.52,2686.08
23 Jul,6481.95,5941.79,4861.46,3781.14,2700.81
24 Jul,6454.70,5916.81,4841.02,3765.24,2689.46
25 Jul,6364.33,5833.97,4773.25,3712.53,2651.80
26 Jul,6426.58,5891.03,4819.94,3748.84,2677.74
29 Jul,6418.18,5883.33,4813.64,3743.94,2674.24
30 Jul,6486.52,5945.97,4864.89,3783.80,2702.71
31 Jul,6587.84,6038.86,4940.88,3842.91,2744.93
1 Aug,6586.36,6037.49,4939.77,3842.04,2744.31
2 Aug,6576.60,6028.55,4932.45,3836.35,2740.25
5 Aug,6510.17,5967.66,4882.63,3797.60,2712.57
6 Aug,6447.52,5910.23,4835.64,3761.05,2686.47
7 Aug,6431.76,5895.78,4823.82,3751.86,2679.90
8 Aug,6553.23,6007.13,4914.92,3822.72,2730.51
9 Aug,6561.91,6015.09,4921.44,3827.78,2734.13
12 Aug,6670.25,6114.39,5002.69,3890.98,2779.27
13 Aug,6648.22,6094.20,4986.16,3878.13,2770.09
14 Aug,6607.08,6056.49,4955.31,3854.13,2752.95
15 Aug,6625.82,6073.67,4969.37,3865.06,2760.76
16 Aug,6762.75,6199.19,5072.06,3944.94,2817.81
19 Aug,6744.15,6182.13,5058.11,3934.09,2810.06
20 Aug,6775.29,6210.68,5081.47,3952.25,2823.04
21 Aug,6779.17,6214.24,5084.38,3954.52,2824.66
22 Aug,6705.93,6147.10,5029.45,3911.79,2794.14
23 Aug,6769.52,6205.40,5077.14,3948.89,2820.63
26 Aug,6788.26,6222.57,5091.20,3959.82,2828.44
27 Aug,6813.91,6246.08,5110.43,3974.78,2839.13
28 Aug,6767.97,6203.97,5075.98,3947.98,2819.99
29 Aug,6802.15,6235.30,5101.61,3967.92,2834.23
30 Aug,6751.41,6188.79,5063.56,3938.32,2813.09
2 Sep,6741.39,6179.61,5056.05,3932.48,2808.91
3 Sep,6729.06,6168.30,5046.79,3925.28,2803.77
4 Sep,6733.64,6172.51,5050.23,3927.96,2805.68
5 Sep,6794.08,6227.91,5095.56,3963.21,2830.87
6 Sep,6743.42,6181.47,5057.57,3933.66,2809.76
9 Sep,6765.64,6201.84,5074.23,3946.63,2819.02
10 Sep,6795.86,6229.54,5096.89,3964.25,2831.61
11 Sep,6788.14,6222.46,5091.10,3959.75,2828.39
12 Sep,6904.86,6329.46,5178.65,4027.84,2877.03
13 Sep,6955.67,6376.03,5216.75,4057.47,2898.19
16 Sep,6964.99,6384.57,5223.74,4062.91,2902.08
17 Sep,6923.36,6346.41,5192.52,4038.63,2884.73
18 Sep,6887.76,6313.78,5165.82,4017.86,2869.90
19 Sep,6956.19,6376.51,5217.14,4057.78,2898.41
20 Sep,7038.81,6452.24,5279.11,4105.97,2932.84
23 Sep,7059.12,6470.86,5294.34,4117.82,2941.30
24 Sep,7143.75,6548.44,5357.81,4167.19,2976.56
25 Sep,7148.54,6552.83,5361.41,4169.98,2978.56
26 Sep,7186.03,6587.19,5389.52,4191.85,2994.18
27 Sep,7155.14,6558.88,5366.36,4173.83,2981.31
30 Sep,7099.27,6507.66,5324.45,4141.24,2958.03
1 Oct,7182.46,6583.92,5386.84,4189.77,2992.69
2 Oct,7175.07,6577.15,5381.30,4185.46,2989.61
3 Oct,7171.93,6574.27,5378.94,4183.62,2988.30
4 Oct,7168.71,6571.32,5376.53,4181.75,2986.96
7 Oct,7138.91,6544.00,5354.18,4164.37,2974.55
8 Oct,7076.13,6486.45,5307.09,4127.74,2948.39
9 Oct,7036.62,6450.23,5277.46,4104.69,2931.92
10 Oct,7093.65,6502.51,5320.23,4137.96,2955.69
11 Oct,7184.32,6585.63,5388.24,4190.85,2993.47
14 Oct,7159.99,6563.33,5369.99,4176.66,2983.33
15 Oct,7194.92,6595.34,5396.19,4197.03,2997.88
16 Oct,7226.86,6624.63,5420.15,4215.67,3011.19
17 Oct,7277.93,6671.44,5458.45,4245.46,3032.47
18 Oct,7355.62,6742.65,5516.71,4290.78,3064.84
21 Oct,7354.56,6741.68,5515.92,4290.16,3064.40
22 Oct,7429.67,6810.53,5572.25,4333.97,3095.69
23 Oct,7346.04,6733.87,5509.53,4285.19,3060.85
24 Oct,7395.25,6778.98,5546.44,4313.89,3081.35
25 Oct,7429.87,6810.71,5572.40,4334.09,3095.78
28 Oct,7413.11,6795.35,5559.83,4324.31,3088.79
29 Oct,7499.60,6874.64,5624.70,4374.77,3124.83
30 Oct,7535.00,6907.09,5651.25,4395.42,3139.58
31 Oct,7423.03,6804.45,5567.27,4330.10,3092.93
1 Nov,7397.74,6781.26,5548.30,4315.35,3082.39
4 Nov,7403.85,6786.87,5552.89,4318.92,3084.94
5 Nov,7420.69,6802.30,5565.52,4328.74,3091.95
6 Nov,7213.30,6612.19,5409.97,4207.76,3005.54
7 Nov,7334.59,6723.38,5500.95,4278.51,3056.08
8 Nov,7284.43,6677.39,5463.32,4249.25,3035.18
11 Nov,7116.11,6523.10,5337.08,4151.06,2965.04
12 Nov,7051.69,6464.05,5288.77,4113.49,2938.20
13 Nov,7006.57,6422.69,5254.92,4087.16,2919.40
14 Nov,6969.76,6388.95,5227.32,4065.69,2904.07
15 Nov,6956.86,6377.13,5217.65,4058.17,2898.69
18 Nov,7089.20,6498.43,5316.90,4135.37,2953.83
19 Nov,7149.07,6553.32,5361.81,4170.29,2978.78
20 Nov,7186.66,6587.77,5390.00,4192.22,2994.44
21 Nov,7251.81,6647.50,5438.86,4230.23,3021.59
22 Nov,7371.25,6756.98,5528.43,4299.89,3071.35
25 Nov,7117.15,6524.06,5337.87,4151.67,2965.48
26 Nov,7135.14,6540.55,5351.36,4162.17,2972.98
27 Nov,7155.58,6559.28,5366.68,4174.09,2981.49
28 Nov,7164.67,6567.62,5373.50,4179.39,2985.28
29 Nov,7204.08,6603.74,5403.06,4202.38,3001.70
2 Dec,7197.43,6597.64,5398.07,4198.50,2998.93
3 Dec,7192.47,6593.10,5394.35,4195.61,2996.86
4 Dec,7218.83,6617.26,5414.12,4210.99,3007.85
5 Dec,7169.02,6571.60,5376.77,4181.93,2987.09
6 Dec,7167.81,6570.49,5375.86,4181.22,2986.59
9 Dec,7258.94,6654.03,5444.21,4234.38,3024.56
10 Dec,7354.69,6741.80,5516.02,4290.23,3064.45
11 Dec,7414.79,6796.89,5561.09,4325.29,3089.49
12 Dec,7312.01,6702.68,5484.01,4265.34,3046.67
13 Dec,7223.68,6621.70,5417.76,4213.81,3009.87
16 Dec,7242.78,6639.21,5432.08,4224.95,3017.82
17 Dec,7226.71,6624.48,5420.03,4215.58,3011.13
18 Dec,7093.63,6502.50,5320.22,4137.95,2955.68
19 Dec,7100.12,6508.44,5325.09,4141.74,2958.38
20 Dec,7164.07,6567.06,5373.05,4179.04,2985.03
23 Dec,7157.06,6560.64,5367.80,4174.95,2982.11
24 Dec,7165.51,6568.38,5374.13,4179.88,2985.63
25 Dec,7195.34,6595.73,5396.50,4197.28,2998.06
26 Dec,7255.03,6650.44,5441.27,4232.10,3022.93
27 Dec,7197.29,6597.52,5397.97,4198.42,2998.87
30 Dec,7184.06,6585.39,5388.05,4190.70,2993.36
31 Dec,7221.89,6620.06,5416.41,4212.77,3009.12
